번호,지역, 시군구,센터명,운영주체별,연락처,주력보육분야,우편번호,주소,상세주소
148,부산광역시,부산진구,동의대학교 창업보육센터,대학,051-890-2104,"신소재, 메카트로닉스, 환경 및 IT분야",47340,부산광역시 부산진구 엄광로 176,동의대학교 산학협력관 109호
149,부산광역시,남구,부경대학교 창업보육센터,대학,051-629-5205,"기계/제조, 정보통신, 전기/전자, 부품, 소재, 수산 분야 등",48547,부산광역시 남구 신선로 365,산학협력관 창업보육센터 307호 (용당동)
150,부산광역시,금정구,부산가톨릭대학교 창업보육센터,대학,051-519-0320,"환경,제조,IT,의료보건",46265,부산광역시 금정구 기찰로102번길 56-7 (부곡동),부산가톨릭대학교 산학교정루카관 4층 409호
151,부산광역시,연제구,부산경상대학교 창업보육센터,대학,051-850-1053,"콘텐츠산업, 제조",47583,부산광역시 연제구 고분로 170 (연산동),진리관 6층 산학협력단
152,부산광역시,금정구,부산대학교 창업보육센터,대학,051-510-1357,기계/장비제조업자동차,46241,부산광역시 금정구 부산대학로63번길 2,(장전동)창업보육센터
153,부산광역시,북구,부산이노비즈센터,정부·지자체,051-361-9101,POST-BI,46570,부산광역시 북구 만덕3로16번길 1,(만덕동)101호
154,부산광역시,해운대구,영산대학교 지식창업보육센터,대학,051-540-7392,전자상거래 인터넷무역특허및신제품개발,48015,부산광역시 해운대구 반송순환로 142,"M동 9층 9901호실 지식창업보육센터 (반송동,영산대학교)"
155,부산광역시,강서구,중소조선연구원 창업보육센터,연구소,051-974-5503,해양레저산업,46757,부산광역시 강서구 녹산산단232로 38-6 (송정동),창업보육센터
156,부산광역시,부산진구,한국소재융합연구원 창업보육센터,연구소,051-605-3252,신발 및 피혁 부품소재분야,47154,부산광역시 부산진구 당감서로 152 (당감동),창업보육센터
157,부산광역시,북구,한국폴리텍Ⅶ대학 부산캠퍼스 창업보육센터,대학,051-330-7873,"기계,전기,전자,자동화,정보통신",46550,부산광역시 북구 만덕대로155번길 99,(덕천동) 산학협력처 6102호(도서관)
158,부산광역시,영도구,한국해양대학교 해양벤처진흥센터,대학,051-410-4717,"조선, 기자재 , 선박장비, 항만,물류, 해양수산",49112,부산광역시 영도구 태종로 727 (동삼동),창업보육센터
159,울산광역시,남구,울산 스타트업 허브,테크노파크·창조경제혁신센터,052-230-3400,"스마트 조선·해양, 미래모빌리",44677,울산광역시 남구 봉월로38번길 32 (신정동),"4층,5층,6층"
160,대구광역시,북구,경북대학교 창업보육센터,대학,053-950-6195,"전기, 전자, 바이오",41566,대구광역시 북구 대학로 80 (산격동),창업보육센터
161,대구광역시,남구,계명대학교 창업보육센터,대학,053-620-2035,"문화/콘텐츠, 디자인",42403,대구광역시 남구 명덕로 104,(대명동)동산관 145호
162,대구광역시,달서구,계명문화대학교 창업보육센터,대학,053-589-7558,문화예술디자인,42601,"대구광역시 달서구 달서대로 675, 계명문화창업보육센터 (신당동)",복지관 3층 7304호 행정실
163,대구광역시,달성군,국가물산업클러스터 창업보육센터,공공기관·협단체,053-601-6145,"물, 환경",43008,대구광역시 달성군 구지면 국가산단대로40길 20,국가물산업클러스터 워터캠퍼스 3층
164,대구광역시,달서구,대구경북중소기업청경북대학교중소기업성장지원센터,정부·지자체,053-626-6195,"IT,전자,기계",42818,"대구광역시 달서구 중흥로 20, 1층 기업지원실 (송현동)",1층 기업지원실
165,대구광역시,달서구,대구공업대학교 창업보육센터,대학,053-560-3765,"전기, 전자, 기계",42734,대구광역시 달서구 송현로 205,대구공업대학교 창업보육센터 403호
166,대구광역시,북구,대구보건대학교 창업성장지원센터,대학,053-320-1289,"보건의료, 헬스케어",41453,대구광역시 북구 영송로 15 (태전동),창업보육센터
167,대구광역시,동구,대구스케일업허브(DASH),정부·지자체,053-759-0920,기술창업,41260,대구광역시 동구 동대구로 465 (신천동),창업보육센터
168,대구광역시,수성구,수성대학교 창업보육센터,대학,053-749-7015,"ICT융복합, 제조분야",42078,대구광역시 수성구 달구벌대로528길 15 (만촌동),4층 산학협력단
169,대구광역시,남구,영남이공대학교 창업보육센터,대학,053-650-9479,수출/전기전자 / IT,42415,대구광역시 남구 현충로 170,영남이공대학교 창업보육센터 5층 (대명동)
170,대구광역시,달서구,중진공 대구 창업보육센터(Post-BI),공공기관·협단체,053-716-3353,신재생에너지 및 기계가공,42702,대구광역시 달서구 성서공단북로 235 (신당동),창업보육센터
171,경상북도,칠곡군,경북과학대학교 창업보육센터,대학,054-972-9730,"바이오식품, 기능성포장재, 기능성안료",39913,경상북도 칠곡군 기산면 지산로 634,산학협력관 101호
172,경상북도,상주시,경북대학교 상주캠퍼스 창업보육센터,대학,053-950-6198,지역특화,37224,"경상북도 상주시 경상대로 2559, 경북대학교 상주캠퍼스 산학종합지원센터 2층 (가장동)",2층
173,경상북도,영주시,경북전문대학교 창업보육센터,대학,054-630-5006,청년창업,36133,경상북도 영주시 대학로 77 (휴천동),영주148아트스퀘어 2층
174,경상북도,구미시,경운대학교 창업보육센터,대학,054-479-1146,"멀티미디어 컨텐츠 및 드론, 무인비행체 제작",39160,경상북도 구미시 산동면 강동로 730,창업보육센터
175,경상북도,경산시,경일대학교 창업보육센터,대학,053-600-4431,"융복합소재부품,  디지털케어, 미디어콘텐츠",38428,경상북도 경산시 하양읍 가마실길 50,"RnDB센터, 산학협력관"
176,경상북도,구미시,구미시 창업보육센터,정부·지자체,054-464-7001,AI 시스템 솔루션,39253,경상북도 구미시 구미대로 350-27 (신평동),창업보육센터
177,경상북도,예천군,국립경국대학교 예천창업보육센터,대학,054-650-0151,생물농업분야. 자동화분야,36830,경상북도 예천군 예천읍 도립대학길 114,국립경국대학교 예천창업보육센터
178,경상북도,안동시,국립경국대학교 창업보육센터,대학,054-820-7415,"식품, 바이오",36729,경상북도 안동시 경동로 1375 (송천동),안동대학교 창업지원센터
179,경상북도,구미시,국립금오공과대학교 창업보육센터,대학,054-478-6750,"그린에너지, 의료기기, 전기전자, 기계, 방산, 로봇, AI",39177,경상북도 구미시 대학로 61,(양호동) 벤처창업관 313호
180,경상북도,경산시,대경대학교 창업보육센터,대학,053-850-1171,CT(Culture Technology) 산업,38547,경상북도 경산시 자인면 단북1길 65,대경대학교 창업보육센터
181,경상북도,경산시,대구가톨릭대학교 창업보육센터,대학,053-850-3861,"농공상융합, 식품특성화, 바이오, 생명공학, 의료기기교육",38430,경상북도 경산시 하양읍 하양로 13-13,(금락리) 대구가톨릭대학교 창업보육센터
182,경상북도,영천시,대구대학교 창업보육센터,대학,053-850-5598,"정보통신,기계,바이오",38911,경상북도 영천시 금호읍 대구대길 333,창업보육센터2호관 1119호 행정실
183,경상북도,경산시,대구한의대학교 한방바이오창업보육센터,대학,053-819-1717,한방바이오산업,38578,경상북도 경산시 어봉지길 285-10,산학협력관 111호 창업보육센터
184,경상북도,경주시,동국대학교 벤처창업보육센터,대학,054-770-2853,"신성장동력(신재생에너지, IT융복합)",38066,경상북도 경주시 동대로 123 (석장동),동국대학교경주캠퍼스 산학협력단 벤처창업보육센터
185,경상북도,경산시,영남대학교 창업보육센터,대학,053-810-4738,전자부품소재,38541,경상북도 경산시 대학로 280 (대동),영남대학교 CRC센터 309호
186,경상북도,칠곡군,영진전문대학교 창업보육센터,대학,054-970-9522,기계/전자 제조,39866,경상북도 칠곡군 지천면 금송로 60,영진전문대학교 글로벌캠퍼스 토탈테크노관(2관) 4층
187,경상북도,경주시,위덕대 창업보육센터,대학,054-760-1072,IT업종 및 친환경 전기에너지 관련 기업보육,38004,경상북도 경주시 강동면 동해대로 261,산학협력단 (성취관109호)
188,경상북도,포항시,포항공과대학교 기술지주 창업보육센터,대학,054-289-3803,"바이오/의료, IT, 신소재",37673,경상북도 포항시 남구 청암로 87 (지곡동),포항공과대학교 창업보육센터 체인지업그라운드 616호
189,경상북도,포항시,포항대학교 창업보육센터,대학,054-245-1043,"정보통신, 전기제철,  철강, 기계시스템",37555,경상북도 포항시 북구 흥해읍 신덕로 60 (양덕동),경북 포항시 북구 흥해읍 신덕로 60 창업보육센터
190,경상북도,포항시,한동대학교 창업보육센터,대학,054-260-1443,"정보통신, 청년창업 분야, 바이오",37554,경상북도 포항시 북구 흥해읍 한동로 558,한동대학교 창업보육센터 행정실
191,경상남도,진주시,(재)진주바이오산업진흥원 창업보육센터,공공기관·협단체,055-762-9831,바이오분야,52839,경상남도 진주시 문산읍 월아산로 991,진주바이오산업진흥원 창업보육센터
192,경상남도,창원시,경남대학교 창업보육관,대학,055-249-2906,"화학, IT, 일반제조 등",51734,경상남도 창원시 마산합포구 3·15대로 298 (서성동),창업보육센터
193,경상남도,거창군,경남도립거창대학디자인창업보육센터,대학,055-254-2756,"항노화(농산물)분야, 드론분야",50147,경상남도 거창군 거창읍 거창대학로 72,창업보육센터
194,경상남도,진주시,경상국립대학교 창업보육센터,대학,055-772-2602,기계.장비제조,52828,경상남도 진주시 진주대로 501 (가좌동),창업보육센터
195,경상남도,진주시,경상국립대학교 칠암창업보육센터,대학,055-772-3535,생명공학 및 메카트로닉스 분야,52725,경상남도 진주시 동진로 33,산학협력관 창업보육센터 2층 204호 (칠암동)
196,경상남도,창원시,경상남도 창업보육센터,정부·지자체,055-291-9374,IT 및  S/W,51347,경상남도 창원시 마산회원구 봉암북7길 21 (봉암동),창업보육센터
197,경상남도,창원시,마산대학교 창업보육센터,대학,055-230-1255,"스마트제조, 바이오헬스, 웰니스",51217,경상남도 창원시 마산회원구 내서읍 함마대로 2640,창업보육센터
198,경상남도,밀양시,부산대학교 밀양캠퍼스 창업보육센터,대학,055-350-5238,기계장비  IT분야 바이오,50463,경상남도 밀양시 삼랑진읍 삼랑진로,1268-50
199,경상남도,양산시,부산대학교 양산캠퍼스 의생명 창업보육센터,대학,051-510-8522,"바이오, ICT, 나노융합",50612,경상남도 양산시 물금읍 부산대학로 49,부산대학교 양산캠퍼스 첨단의생명융합센터 204호
200,경상남도,진주시,세라믹스창업보육센터,연구소,055-792-2766,세라믹,52851,경상남도 진주시 소호로 109,(충무공동 15-3)
201,경상남도,양산시,영산대학교 그린창업보육센터,대학,055-380-9104,그린산업(친환경 수송기계부품 및 IT융복합),50510,경상남도 양산시 주남로 288 (주남동),창업보육센터
202,경상남도,김해시,인제대 김해창업보육센터,대학,055-320-3781,"기계, 바이오 산업",50834,경상남도 김해시 인제로 197,(어방동) 창조관 416호
203,경상남도,창원시,창신대학교 창업보육센터,대학,055-250-3076,"스마트융합(ICT, 항공·기계, 소방), 헬스케어",51352,경상남도 창원시 마산회원구 팔용로 262 (합성동),제3호관 5층 창업보육센터
204,경상남도,창원시,창원대학교 창업보육센터,대학,055-213-4181,메카트로닉스 관련 제조업,51140,경상남도 창원시 의창구 창원대학로 20,85호관 705호
205,경상남도,창원시,창원문성대학교 창업지원단 창업보육센터,대학,055-279-5047,기계(장비) 제조 및 IT(소프트웨어 개발),51410,경상남도 창원시 의창구 충혼로 91,벤처창업관 1층 창업보육센터
206,전남광주통합특별시,광양시,광양만권 소재부품 지식산업센터,정부·지자체,061-763-9742,"첨단소재부품 산업(이차전지, 철강 등)",57759,전남광주통합특별시 광양시 광양읍 익신산단3길 40,2층 운영사무실
207,전남광주통합특별시,광양시,광양보건대학교 창업보육센터,대학,061-760-1402,"환경, 화학, 금속, 디자인,IT",57764,전남광주통합특별시 광양시 광양읍 대학로 85,광양보건대학교 등용관 창업보육센터
208,전남광주통합특별시,북구,광주과학기술원 창업진흥센터,대학,062-715-6305,"AI, 드론, 4차산업, 에너지",61005,전남광주통합특별시 북구 첨단과기로 123  (오룡동),첨단과기로 123(오룡동) 광주과학기술원 기업지원센터
209,전남광주통합특별시,남구,광주대학교 창업보육센터,대학,062-670-2699,"소방공사,탈취기,대기환경정보표시장치,컴팩트인풋디바이스,통합유지보수솔루션,소프트웨어개발,공기청정기등",61743,전남광주통합특별시 남구 효덕로 277 (진월동),창업보육센터
210,전남광주통합특별시,광산구,광주드림파크,공공기관·협단체,062-952-2971,기계전기전자,62215,전남광주통합특별시 광산구 하남산단천변좌로 19 (오선동),창업보육센터
211,전남광주통합특별시,목포시,국립목포해양대학교 창업보육센터,대학,061-240-7135,해양기자재 제조업,58628,전남광주통합특별시 목포시 해양대학로 91,목포해양대학교 창업보육센터
212,전남광주통합특별시,장성군,나노융합의료부품소재 창업보육센터,공공기관·협단체,061-399-0506,"나노바이오초임계추출, 의료기기, 화장품",57248,전남광주통합특별시 장성군 남면 나노산단로 123,나노바이오연구센터
213,전남광주통합특별시,광산구,남부대학교 창업보육센터,대학,062-970-0086,부품소재,62271,전남광주통합특별시 광산구 남부대길 38,남부대 창업보육센터
214,전남광주통합특별시,북구,동강대학교 창업보육센터,대학,062-520-2581,"광산업,  IT산업, 녹색산업",61200,전남광주통합특별시 북구 동문대로 50 (두암동),동강대학교 산학협력관
215,전남광주통합특별시,나주시,동신대학교 창업보육센터,대학,061-330-2951,"에너지, 바이오, 서비스",58245,전남광주통합특별시 나주시 동신대길 34-15 (대호동),산학협력관 211호 창업보육센터
216,전남광주통합특별시,무안군,목포대학교 창업보육센터,대학,061-450-6259,"식품가공, 기계장비 제조업",58554,전남광주통합특별시 무안군 청계면 영산로 1666,목포대학교 창업보육센터 102호
217,전남광주통합특별시,목포시,목포수산식품지원센터 창업보육센터,공공기관·협단체,061-276-1670,수산 가공식품,58621,전남광주통합특별시 목포시 고하대로719번길 52,(연산동)연구동 1층 행정지원실
218,전남광주통합특별시,곡성군,바이오융합 창업보육센터,공공기관·협단체,061-363-8991,"곤충, 미생물, 농생명 관련 분야",57509,전남광주통합특별시 곡성군 입면 입면로 437,바이오융합 창업보육센터
219,전남광주통합특별시,남구,송원대학교 창업보육센터,대학,062-360-5586,"기계자동차, 에너지, 전기전자",61756,전남광주통합특별시 남구 송암로 73,청솔관 2층
220,전남광주통합특별시,순천시,순천대 창업보육센터,대학,061-750-3850,"시스템,소재",57922,전남광주통합특별시 순천시 중앙로 255 (석현동),순천대학교 국제문화컨벤션관 310호 창업보육센터
221,전남광주통합특별시,여수시,전남대학교 여수창업보육센터,대학,061-659-6977,바이오 환경 산업,59626,전남광주통합특별시 여수시 대학로 50,(둔덕동) 산학연구관 514호
222,전남광주통합특별시,북구,전남대학교 창업보육센터,대학,062-530-1970,바이오환경 신소재개발 IT분야,61186,전남광주통합특별시 북구  용봉로 77,지앤알허브 420호
223,전남광주통합특별시,담양군,전남도립대학교 창업보육센터,대학,061-380-8617,ICT융합 녹색산업,57337,전남광주통합특별시 담양군 담양읍 죽녹원로 152,전남도립대학교 창업보육센터
224,전남광주통합특별시,장흥군,전남바이오진흥원 그린바이오본부 천연센터 창업보육센터,공공기관·협단체,061-860-2641,"천연물 향장품, 건강기능식품 및 의약품 등",59315,전남광주통합특별시 장흥군 장흥읍 산단1로 50,천연자원연구센터 창업보육센터
225,전남광주통합특별시,동구,조선대학교 창업지원단,대학,062-230-7667,"바이오, 광산업, 첨단부품 소재, 전자부품 등",61452,전남광주통합특별시 동구 필문대로 309,(서석동)
226,전남광주통합특별시,무안군,초당대학교 창업보육센터,대학,061-450-1301,"농축바이오, 조리, 식품, 뷰티, 드론제작, 드론 운영",58530,전남광주통합특별시 무안군 무안읍 무안로 380,초당대학교 산학협력단
227,전남광주통합특별시,나주시,한국전력 창업보육센터,공공기관·협단체,061-345-7744,에너지신산업(기존 전력분야 포함),58324,전남광주통합특별시 나주시 그린로 370 (빛가람동),2층
228,전남광주통합특별시,광산구,호남대 창업보육센터,대학,062-940-5622,"AI산업, 미래자동차, 에너지신산업",62399,전남광주통합특별시 광산구 호남대길 47 (서봉동),호남대학교 창업보육센터(현명관 5호관 3층) 5313호 행정지원실
229,전북특별자치도,군산시,군산대학교 창업보육센터,대학,063-469-4890,"제조업, IT, 신재생에너지",54150,전북특별자치도 군산시 대학로 558 (미룡동),창업보육센터
230,전북특별자치도,남원시,남원시바이오산업연구원 창업보육센터,공공기관·협단체,063-633-8601,"첨단산업, 그린바이오",55801,"전북특별자치도 남원시 시묘길 43-21, D동 (노암동)",D동
231,전북특별자치도,전주시,바이오플렉스 창업보육센터,공공기관·협단체,063-210-6563,"바이오, 식품",54810,전북특별자치도 전주시 덕진구 원장동길 111-18 (장동),창업보육센터
232,전북특별자치도,전주시,에코인쇄전자 창업보육센터,연구소,063-219-0004,"유연인쇄전자. 디스플레이, 반도체, 자동차 전장, 신재쟁, IoT",54853,전북특별자치도 전주시 덕진구 반룡로 111 (팔복동2가),한국전자기술연구원 에코인쇄전자 창업보육센터
233,전북특별자치도,익산시,에코파이버 창업보육센터,연구소,063-830-3589,"섬유, 패션, 융복합소재",54588,전북특별자치도 익산시 서동로 594 (석암동),에코융합섬유연구원 에코파이버 창업보육센터
234,전북특별자치도,완주군,우석대학교 창업보육센터,대학,063-290-1285,"소프트웨어개발,디자인",55338,전북특별자치도 완주군 삼례읍 삼례로 443,우석대학교 본관 7층 716호 창업보육센터
235,전북특별자치도,익산시,원광대학교 IT·BT창업보육센터,대학,063-850-7454,Information Technology Biotech Technology,54538,전북특별자치도 익산시 익산대로 460 (신동),원광대학교 창업보육센터
236,전북특별자치도,익산시,익산창업보육센터,공공기관·협단체,063-841-7480,"홀로그램, 에너지, IT",54630,전북특별자치도 익산시 동서로 370 (영등동),익산종합비즈니스센터 6층
237,전북특별자치도,정읍시,전북과학대학교 창업보육센터,대학,063-530-9234,"메카트로닉스, 농생명, 문화관광, 정보통신",56204,전북특별자치도 정읍시 정읍사로 509 (시기동),창업보육센터
238,전북특별자치도,전주시,전북대 창업보육센터,대학,063-270-4256,"전기전자 메카트로닉스. 식품생물, 녹색 신성장동력",54896,전북특별자치도 전주시 덕진구 백제대로 567 (금암동),창업보육센터
239,전북특별자치도,전주시,전주대학교 창업보육센터,대학,063-220-2845,"IT, BT, CT",55069,전북특별자치도 전주시 완산구 천잠로 303 (효자동2가),벤처창업관
240,전북특별자치도,전주시,전주비전대학교 창업보육센터,대학,063-220-3738,"전기, 전자, 신재생에너지",55069,전북특별자치도 전주시 완산구 천잠로 235 (효자동2가),실습동 212호 전주비전대학교 창업보육센터
241,전북특별자치도,전주시,한국농수산대학교 창업보육센터,대학,063-238-9751,"농생명 ICT, 스마트팜, 농수산물 가공 및 연구개발, 관련분야 전후방산업",54874,전북특별자치도 전주시 덕진구 콩쥐팥쥐로 1515 (중동),한국농수산대학교 창업보육센터
242,전북특별자치도,군산시,호원대학교 창업보육센터,대학,063-450-7178,"IoT융합,부품,센서",54058,전북특별자치도 군산시 임피면 호원대3길 64,호원대학교 산학협력관 301호 창업보육센터
243,전북특별자치도,전주시,희망전북 POST-BI,정부·지자체,063-211-7600,"광, 기계, 전자",54882,전북특별자치도 전주시 덕진구 상리1길 34 (팔복동2가),창업보육센터
244,제주특별자치도,제주시,제주관광대학 창업보육센터,대학,064-740-8857,"청정헬스푸드형 식품기업및 향장품, 디자인,영상, 4차산업(IOT)",63063,제주특별자치도 제주시 애월읍 평화로 2715,창업보육센터
245,제주특별자치도,제주시,제주국제대학교 창업보육센터,대학,064-754-0269,"신항공산업, 지능형관관컨텐츠, 스마트그리드, 정보통신, 4차산업혁명기업",63309,제주특별자치도 제주시 516로 2870,(영평동)제주국제대학교
246,제주특별자치도,제주시,제주대학교 창업보육센터,대학,064-752-4413,바이오/환경,63169,제주특별자치도 제주시 중앙로14길 21,제주대학교 창업보육센터터 2층 행정실 (삼도이동)
247,제주특별자치도,제주시,제주한라대학교 창업보육센터,대학,064-741-7470,정보기술  및 생명공학,63092,제주특별자치도 제주시 한라대학로 38 (노형동),창업보육센터
