연번,지역,지역 시군구,센터명,사업자 구분,지정일,주력보육분야,주소,특화분야,입주기업 전체 개수,보육실 전체 개수,입주율,센터등급
124,대전광역시,유성구,충남대학교창업보육센터,대학,2000-04-27,첨단부품 및 신소재 분야,"34134대전광역시 유성구 대학로 99, 산학연교육연구관(W1) 910호 (궁동)산학연교육연구관(W1) 910호",녹색성장,71,135,88.7,70점 이상
125,대전광역시,유성구,한국생명공학연구원 바이오벤처센터,연구소,1999-08-05,바이오산업,34141대전 유성구 과학로 125 한국생명공학연구원벤처동(3동),바이오,8,10,90.0,
126,대전광역시,유성구,한국전력벤처기업육성센터,연구소,2000-04-27,전력/ 에너지 분야,34056대전광역시 유성구 문지로 105(문지동) 한국전력벤처기업육성센터,특화BI ,9,10,90.1,
127,대전광역시,유성구,한남대학교창업보육센터(HNU Science Park),대학,1998-06-22,"바이오, 정밀화학소재",34054대전광역시 유성구 유성대로 1646(전민동),바이오,81,122,94.0,70점 이상
128,대전광역시,유성구,한밭대학교 창업보육센터,대학,1999-08-05,"화학, 신소재",34158대전광역시 유성구 동서대로 125한밭대학교 창업보육센터(S5동 503호) (덕명동),청년창업,45,64,86.5,70점 이상
129,충청북도,충주시,건국대학교 글로컬캠퍼스 창업보육센터,대학,2011-05-23,"바이오, 헬스, 정보통신(BT, HT, ICT)","27478충청북도 충주시 충원대로 268, 건국대학교 글로컬캠퍼스 창업보육센터 106호 (단월동)건국대학교 글로컬캠퍼스 창업보육센터 106호",녹색성장,24,27,89.6,70점 이상
130,충청북도,제천시,대원대학교창업보육센터,대학,1999-08-05,"자동차부품 및 천연물, 한방 분야",27135충청북도 제천시 대학로 316(신월동),지역특화,21,23,76.7,70점 이상
131,충청북도,청주시,서원대창업보육센터,대학,2000-04-27,"화장품, 바이오, 컴퓨터 정보통신, 디자인",28674충북 청주시 서원구 무심서로 377-3(모충동)혁신관 2층,특화BI ,18,22,100.0,70점 이상
132,충청북도,제천시,세명대학교 창업보육센터,대학,2000-04-27,정보처리 인터넷서비스한방바이오산업,27136충청북도 제천시 세명로 65창업보육센터 (신월동),특화BI ,17,25,84.4,70점 이상
133,충청북도,청주시,오송창업보육센터(고려대),대학,2011-05-23,"BT특화(신약개발, 메디바이오 신소재, 차세대 의료기기, 에코바이오, 건강기능성 식품)",28161충청북도 청주시 흥덕구 오송읍 오송생명2로 125고려대학교 의생명공학연구원(오송창업보육센터),바이오,12,30,65.4,70점 이상
134,충청북도,영동군,유원대학교창업보육센터,대학,2000-04-27,"생물분야, 신소재분야",29131충청북도 영동군 영동읍 대학로 310산학협력관 3층 309호,특화BI ,19,59,82.8,70점 미만
135,충청북도,괴산군,중원대학교 창업보육센터,대학,2014-04-22,농공상 융합산업,"28024충청북도 괴산군 괴산읍 문무로 85, 중원대학교 산학협력단 401호중원대학교 산학협력단 401호",특화BI ,20,22,94.1,70점 미만
136,충청북도,청주시,청주대학교창업보육센터,대학,1999-08-05,IT 및 신기술,28497충청북도 청주시 청원구 안덕벌로104번길 28(내덕동)청주대학교 미래창조관 105호,특화BI ,31,36,86.9,70점 이상
137,충청북도,청주시,충북대학교G-테크벤처센터,정부·지자체,2009-04-21,"글로벌및그린창업분야 전기전자반도체,기술집약형산업(IT,BT,ET),충북전략산업관련",28420충청북도 청주시 흥덕구 가로수로 1251충북대학교G-테크벤처센터 107호 창업지원실,특화BI ,22,28,92.2,70점 이상
138,충청북도,청주시,충북대학교창업보육센터,대학,2000-04-27,"IT,BT,ET,BIT,신기술",28644충청북도 청주시 서원구 충대로 1 (개신동)학연산공동기술연구원 204호 창업보육센터,특화BI ,39,42,97.9,70점 이상
139,충청북도,옥천군,충북도립대학창업보육센터,대학,1999-08-05,바이오 식품 특화,29046충청북도 옥천군 옥천읍 대학길 15창업보육센터,특화BI ,2,17,9.3,70점 미만
140,충청북도,청주시,충북보건과학대학교 창업보육센터,대학,1998-06-22,"전기전자, 바이오",28150충청북도 청주시 청원구 내수읍 덕암길 10충북보건과학대학교내 창업보육센터,특화BI ,25,35,91.2,70점 이상
141,충청북도,청주시,충청대학교창업보육센터,대학,1999-02-22,식품·생명분야,28171충청북도 청주시 흥덕구 강내면 월곡길 38충청대학교 창업보육센터,특화BI ,33,47,77.6,70점 미만
142,충청북도,충주시,한국교통대학교 창업보육센터,대학,1999-02-27,"IT,BI,NT,ET 등 제조",27469충청북도 충주시 대소원면 대학로 50한국교통대학교 창업보육센터,특화BI ,36,55,82.4,70점 이상
143,세종특별자치시,조치원읍,세종창업키움센터,테크노파크·창조경제혁신센터,2021-07-06,"스마트시티, 스마트팜, 자율주행, 소셜벤처","30033세종특별자치시 조치원읍 세종로 2296, 세종창업키움센터세종창업키움센터",특화BI ,13,15,90.6,
144,세종특별자치시,장군면,한국영상대학교 창업보육센터,대학,2014-04-22,"방송,영상콘텐츠제작,IT",30056세종특별자치시 장군면 대학길 300한국영상대학교 진리관 창업보육센터,특화BI ,14,14,100.0,70점 미만
145,세종특별자치시,조치원읍,홍익대학교 벤처기업창업보육센터,대학,1999-02-27,"컴퓨터정보통신, 멀티미디어디자인",30016세종특별자치시 조치원읍 세종로 2639산학협력관 201호,특화BI ,21,24,90.2,70점 이상
146,부산광역시,남구,경성대학교창업보육센터,대학,1999-08-05,IT/친환경소재,48434부산광역시 남구 수영로 309산학협력관(10관) 401호 창업보육센터 행정실,특화BI ,12,14,95.5,70점 이상
147,부산광역시,남구,동명대학교창업보육센터,대학,1999-02-27,"IT, 제조 기계자동화",48520부산광역시 남구 신선로 428(용당동) 학생복지관 404호,특화BI ,19,21,100.0,70점 이상
148,부산광역시,사상구,동서대Dream.E.Valley,대학,1999-08-05,"IT, 디자인, 디지털콘텐츠, 영화영상",47011부산광역시 사상구 주례로 47 (주례동)동서대학교 Dream E. Valley 2층 A205호,특화BI ,21,22,100.0,70점 이상
149,부산광역시,사하구,동아대학교창업보육센터,대학,1998-06-22,"제조, 바이오, IT",49315부산광역시 사하구 낙동대로550번길 37동아대학교 산학연구관 301호 창업보육센터 (하단동),녹색성장,32,66,61.6,70점 이상
150,부산광역시,부산진구,동의대학교 창업보육센터,대학,1999-08-05,"신소재, 메카트로닉스, 환경 및 IT분야",47340부산광역시 부산진구 엄광로 176동의대학교 산학협력관 109호,IT,19,28,84.8,70점 이상
151,부산광역시,남구,부경대학교 창업보육센터,대학,1999-08-05,"기계/제조, 정보통신, 전기/전자, 부품, 소재, 수산 분야 등",48547부산광역시 남구 신선로 365산학협력관 창업보육센터 307호 (용당동),특화BI ,60,116,70.4,70점 이상
152,부산광역시,금정구,부산가톨릭대학교창업보육센터,대학,2000-04-27,"환경,제조,IT,의료보건","46252부산광역시 금정구 오륜대로 57, 부산가톨릭대학교 (부곡동)부산가톨릭대학교",특화BI ,18,20,100.0,70점 이상
153,부산광역시,금정구,부산대학교 중소기업창업보육센터,대학,1999-02-27,기계/장비제조업자동차,46241부산광역시 금정구 부산대학로63번길 2(장전동)창업보육센터,특화BI ,30,49,90.2,70점 이상
154,부산광역시,북구,부산이노비즈센터,정부·지자체,2004-07-08,POST-BI,46570부산광역시 북구 만덕3로16번길 1(만덕동)101호,특화BI ,16,21,100.0,70점 이상
155,부산광역시,해운대구,영산대학교 지식창업보육센터,대학,1999-08-05,전자상거래 인터넷무역특허및신제품개발,"48015부산광역시 해운대구 반송순환로 142M동 9층 9901호실 지식창업보육센터 (반송동,영산대학교)",특화BI ,16,28,53.0,70점 미만
156,부산광역시,강서구,중소조선연구원 창업보육센터,연구소,2010-04-02,해양레저산업,46757부산광역시 강서구 녹산산단232로 38-6(송정동),녹색성장,14,18,100.0,70점 이상
157,부산광역시,부산진구,한국신발피혁연구원 창업보육센터,연구소,2002-03-20,신발 및 피혁 부품소재분야,47154부산광역시 부산진구 당감서로 152(당감동),특화BI ,11,13,100.0,70점 이상
158,부산광역시,북구,한국폴리텍Ⅶ대학 부산캠퍼스 창업보육센터,대학,2000-04-27,"기계,전기,전자,자동화,정보통신",46550부산광역시 북구 만덕대로155번길 99(덕천동) 산학협력처 6102호(도서관),특화BI ,6,7,100.0,70점 미만
159,부산광역시,영도구,한국해양대학교 해양벤처진흥센터,대학,2000-10-31,"조선, 기자재 , 선박장비, 항만,물류, 해양수산",49112부산광역시 영도구 태종로 727(동삼동),특화BI ,22,28,100.0,70점 이상
160,울산광역시,남구,울산과학대학교 창업보육센터,대학,2019-07-11,"기계, 전자, 화학","44610울산광역시 남구 대학로 57, 창의혁신관 3층 (무거동)창의혁신관 3층",정밀화학,20,23,94.4,70점 미만
161,울산광역시,남구,울산대학교 창업보육센터,대학,2001-09-01,"자동차, 조선, 부품, 정밀화학, 에너지, 환경",44610울산광역시 남구 대학로 93(무거동)울산대학교 산학협동관(35호관) 302호,특화BI ,23,42,71.5,70점 이상
162,대구광역시,북구,경북대학교창업보육센터,대학,1999-08-05,"전기, 전자, 바이오",41566대구광역시 북구 대학로 80(산격동),특화BI ,27,28,95.0,70점 이상
163,대구광역시,남구,계명대학교 창업보육센터,대학,1998-06-22,"문화/콘텐츠, 디자인",42403대구광역시 남구 명덕로 104(대명동)동산관 143호,특화BI ,40,47,96.5,70점 이상
164,대구광역시,달서구,계명문화창업보육센터,대학,2017-04-04,문화예술디자인,"42601대구광역시 달서구 달서대로 675, 계명문화창업보육센터 (신당동)복지관 3층 7304호 행정실",문화컨텐츠,9,10,93.4,70점 이상
165,대구광역시,달성군,국가물산업클러스터 창업보육센터,공공기관·협단체,2021-07-06,"물, 환경","43008대구광역시 달성군 구지면 국가산단대로40길 20, 국가물산업클러스터 워터캠퍼스 3층국가물산업클러스터 워터캠퍼스 3층",지역특화,12,12,100.0,70점 미만
166,대구광역시,달서구,대구경북중소기업청경북대학교중소기업성장지원센터,정부·지자체,2008-07-25,"IT,전자,기계","42818대구광역시 달서구 중흥로 20, 1층 기업지원실 (송현동)1층 기업지원실",IT,15,22,88.1,70점 이상
167,대구광역시,달서구,대구공업대학교 창업보육센터,대학,2008-12-24,"전기, 전자, 기계",42734대구광역시 달서구 송현로 205대구공업대학교 창업보육센터 403호,특화BI ,16,21,77.4,70점 이상
168,대구광역시,중구,대구광역시 의료관광창업지원센터,정부·지자체,2017-04-04,"의료기반산업, 의료서비스산업, 의료관광산업","41910대구광역시 중구 태평로 160, 12층 (북성로1가)12층",의료기기,14,16,98.7,70점 미만
169,대구광역시,달서구,대구드림파크 (포스트BI),공공기관·협단체,1996-12-29,신재생에너지 및 기계가공,42702대구광역시 달서구 성서공단북로 235(신당동),특화BI ,16,22,94.1,70점 이상
170,대구광역시,북구,대구보건대학교 창업보육센터,대학,2000-04-27,"의료기기, 안경, 식품",41453대구광역시 북구 영송로 15(태전동),의료기기,41,57,72.9,70점 이상
171,대구광역시,동구,대구스케일업허브(DASH),정부·지자체,2021-12-14,기술창업,"41260대구광역시 동구 동대구로 465, 신천동 (신천동)신천동",지역특화,56,57,91.9,
172,대구광역시,수성구,수성대학교 창업보육센터,대학,2000-04-27,"ICT융복합, 제조분야","42078대구광역시 수성구 달구벌대로528길 15, 4층 산학협력단 (만촌동)4층 산학협력단","공예, 디자인",22,26,97.6,70점 이상
173,대구광역시,남구,영남이공대학교창업보육센터,대학,1999-02-27,전기전자 / IT,42415대구광역시 남구 현충로 170영남이공대학교 창업보육센터 5층 (대명동),의료기기,25,31,95.6,70점 이상
174,경상북도,울진군,(재)환동해산업연구원 창업보육센터,정부·지자체,2019-07-11,해양바이오 분야,"36315경상북도 울진군 죽변면 해양과학길 22, (재)환동해산업연구원(재)환동해산업연구원",바이오,12,20,59.8,70점 이상
175,경상북도,포항시,RIST창업보육센터(리스트),연구소,1999-03-19,"연구개발,기술지원,시제품생산,경영지원 등",37673경상북도 포항시 남구 청암로 67(효자동)(RIST 창업보육센터),특화BI ,5,10,96.4,70점 미만
176,경상북도,칠곡군,경북과학대학교 창업보육센터,대학,2001-03-12,"바이오식품, 기능성포장재, 기능성안료",39913경상북도 칠곡군 기산면 지산로 634산학협력관 101호,특화BI ,8,11,75.4,
177,경상북도,예천군,경북도립대학교창업보육센터,대학,2002-03-20,생물농업분야. 자동화분야,36830경상북도 예천군 예천읍 도립대학길 114경북도립대학교 창업보육센터,특화BI ,9,11,78.4,70점 이상
178,경상북도,영주시,경북전문대학교 창업보육센터,대학,2021-07-06,청년창업,"36133경상북도 영주시 대학로 77, 영주148아트스퀘어 2층 (휴천동)영주148아트스퀘어 2층",청년창업,3,9,50.0,70점 미만
179,경상북도,구미시,경운대학교창업보육센터,대학,2002-03-20,멀티미디어 컨텐츠 및 가상 현실 영상제작,39160경상북도 구미시 산동면 강동로 730창업보육센터,IT,33,48,68.9,70점 미만
180,경상북도,경산시,경일대학교창업보육센터,대학,2002-03-20,"IT융복합(전기,전자,정보통신), 기계재료,자동차부품","38428경상북도 경산시 하양읍 가마실길 50RnDB센터, 산학협력관",특화BI ,39,66,80.4,70점 이상
181,경상북도,구미시,구미대학교 창업보육센터,대학,2000-04-27,"전기,전자,통신,기계분야",39213경상북도 구미시 야은로 37(부곡동),특화BI ,16,27,85.8,70점 미만
182,경상북도,구미시,구미시 창업보육센터,정부·지자체,2004-10-29,Mechatronix 및 부품소재관련,"39374경상북도 구미시 1공단로 144, 행정지원실 (공단동)행정지원실",특화BI ,23,30,76.4,70점 이상
183,경상북도,구미시,금오공과대학교 창업원 창업보육센터,대학,1999-02-27,"그린에너지, 의료기기, 전기전자, 기계",39177경상북도 구미시 대학로 61(양호동) 벤처창업관 313호,특화BI ,39,58,82.4,70점 이상
184,경상북도,경산시,대경대학교창업보육센터,대학,2001-03-12,CT(Culture Technology) 산업,"38547경상북도 경산시 자인면 단북1길 65, 대경대학교 창업보육센터대경대학교 창업보육센터",특화BI ,8,13,89.4,70점 미만
185,경상북도,경산시,대구가톨릭대학교창업보육센터,대학,2000-04-27,"농공상융합, 식품특성화, 바이오, 생명공학, 의료기기교육",38430경상북도 경산시 하양읍 하양로 13-13(금락리) 대구가톨릭대학교 창업보육센터,농공상융합기업,30,43,94.7,70점 이상
186,경상북도,영천시,대구대학교 창업보육센터,대학,1999-08-05,"정보통신,기계,바이오","38911경상북도 영천시 금호읍 대구대길 333, 창업보육센터2호관 1119호 행정실창업보육센터2호관 1119호 행정실",녹색성장,67,85,83.6,70점 이상
187,경상북도,경산시,대구한의대학교 한방바이오창업보육센터,대학,2007-01-24,한방바이오산업,38578경상북도 경산시 어봉지길 285-10산학협력관 111호 창업보육센터,바이오,37,44,86.6,70점 이상
188,경상북도,경주시,동국대학교벤처창업보육센터(경주),대학,1999-02-27,"신성장동력(신재생에너지, IT융복합)",38066경북 경주시 동대로 123동국대학교경주캠퍼스 산학협력단 벤처창업보육센터,녹색성장,42,79,75.7,
189,경상북도,영주시,동양대학교창업보육센터,대학,2000-04-27,농공상융합,36040경북 영주시 풍기읍 동양대로  145동양대학교 창업보육센터,바이오,25,46,67.5,70점 이상
190,경상북도,경주시,서라벌창업보육센터,대학,2023-06-27,"신재생, IT창업","38063경상북도 경주시 태종로 516, 서라벌대학교 (충효동)서라벌대학교 공학2관",예비창업자,0,0,0.0,
191,경상북도,안동시,안동대학교 창업지원센터,대학,1998-06-22,"식품, 바이오",36729경북 안동시 경동로 1375안동대학교 창업지원센터,바이오,11,17,100.0,70점 이상
192,경상북도,경산시,영남대학교 창업보육센터,대학,2000-04-27,전자부품소재,38541경북 경산시  대학로 280영남대학교 CRC센터 309호,녹색성장,46,80,76.4,70점 미만
193,경상북도,칠곡군,영진전문대학교 창업보육센터,대학,2021-07-06,기계/전자 제조,"39866경상북도 칠곡군 지천면 금송로 60, 영진전문대학교 글로벌캠퍼스 토탈테크노관(2관) 4층영진전문대학교 글로벌캠퍼스 토탈테크노관(2관) 4층",특화BI ,11,13,79.1,70점 미만
194,경상북도,경주시,위덕대창업보육센터,대학,1999-08-05,IT업종 및 친환경 전기에너지 관련 기업보육,38004경상북도 경주시 강동면 동해대로 261산학협력단 (성취관109호),특화BI ,11,13,100.0,70점 이상
195,경상북도,포항시,포항공과대학교 기술지주 창업보육센터,대학,1999-02-27,"바이오/의료, IT, 신소재",37673경상북도 포항시 남구 청암로 77 (지곡동)포항공과대학교 창업보육센터 무은재기념관 208호,IT,19,26,92.4,70점 이상
196,경상북도,포항시,포항대학교창업보육센터,대학,2000-04-27,정보통신기반기술식품개발사업 해양환경기술관광마케팅 정보통신기반기술,37555경상북도 포항시 북구 흥해읍 신덕로 60 (양덕동)경북 포항시 북구 흥해읍 신덕로 60 창업보육센터,특화BI ,18,21,87.7,70점 이상
197,경상북도,포항시,한동대학교창업보육센터,대학,1999-08-05,"정보통신, 청년창업 분야, 바이오",37554경상북도 포항시 북구 흥해읍 한동로 558한동대학교 창업보육센터 행정실,특화BI ,23,30,89.3,70점 미만
198,경상남도,진주시,(재)진주바이오산업진흥원 창업보육센터,정부·지자체,2014-04-22,바이오분야,52839경상남도 진주시 문산읍 월아산로 991진주바이오산업진흥원 창업보육센터,바이오,8,10,80.5,70점 이상
199,경상남도,창원시,경남대학교 창업보육관,대학,1999-02-27,"화학, IT, 일반제조 등",51734경상남도 창원시 마산합포구 3·15대로 298(서성동),특화BI ,27,35,100.0,70점 이상
200,경상남도,거창군,경남도립거창대학디자인창업보육센터,대학,2000-04-27,"항노화(농산물)분야, 드론분야",50147경상남도 거창군 거창읍 거창대학로 72창업보육센터,"공예, 디자인",12,12,91.7,70점 이상
201,경상남도,진주시,경상국립대학교 창업보육센터,대학,1999-08-05,기계.장비제조,52828경상남도 진주시 진주대로 501(가좌동),특화BI ,35,47,98.0,70점 이상
202,경상남도,진주시,경상국립대학교 칠암창업보육센터,대학,2000-10-31,생명공학 및 메카트로닉스 분야,52725경상남도 진주시 동진로 33산학협력관 창업보육센터 2층 204호 (칠암동),특화BI ,20,24,96.1,70점 이상
203,경상남도,창원시,경상남도창업보육센터(GNBI),테크노파크·창조경제혁신센터,2001-10-18,IT 및  S/W,51347경상남도 창원시 마산회원구 봉암북7길 21(봉암동),"IT, 앱개발",20,32,62.7,70점 미만
204,경상남도,양산시,동원과학기술대학교창업보육센터,대학,2000-04-27,"기계, 장비제조",50578경상남도 양산시 명곡로 321(명곡동)창업보육센터 2층 2204호,특화BI ,9,18,44.4,70점 이상
205,경상남도,창원시,로봇창업보육센터,테크노파크·창조경제혁신센터,2015-04-17,"로봇,기계,IT","51787경상남도 창원시 마산합포구 진북면 산단2길 132, (재)경남테크노파크 제조로봇기술센터(재)경남테크노파크 제조로봇기술센터",특화BI ,9,10,100.0,70점 미만
206,경상남도,창원시,마산대학교 창업지원센터,대학,1999-08-05,"스마트제조, 바이오헬스, 웰니스",51217경상남도 창원시 마산회원구 내서읍 함마대로 2640창업보육센터,특화BI ,17,20,95.8,70점 미만
207,경상남도,밀양시,부산대학교 밀양캠퍼스 창업보육센터,대학,2002-03-20,기계장비  IT분야 바이오,50463경상남도 밀양시 삼랑진읍 삼랑진로1268-50,특화BI ,11,12,85.0,70점 이상
208,경상남도,양산시,부산대학교 양산캠퍼스 스마트바이오 창업보육센터,대학,2022-09-13,"바이오, ICT, 나노융합","50612경상남도 양산시 물금읍 부산대학로 49, 부산대학교 양산캠퍼스 첨단의생명융합센터 204호부산대학교 양산캠퍼스 첨단의생명융합센터 204호",바이오,5,10,78.4,
209,경상남도,진주시,세라믹스창업보육센터,연구소,2000-04-27,세라믹,52851경상남도 진주시 소호로 109(충무공동 15-3),특화BI ,14,14,100.0,70점 이상
210,경상남도,양산시,영산대학교그린창업보육센터,대학,1999-08-05,그린산업(친환경 수송기계부품 및 IT융복합),50510경상남도 양산시 주남로 288(주남동),녹색성장,41,60,93.8,70점 이상
211,경상남도,김해시,인제대김해창업보육센터,대학,1999-02-27,"기계, 바이오 산업",50834경상남도 김해시 인제로 197(어방동) 창조관 416호,특화BI ,28,36,90.6,70점 이상
212,경상남도,창원시,창신대학교 창업보육센터,대학,2022-06-15,"스마트융합(ICT, 항공·기계, 소방), 헬스케어","51352경상남도 창원시 마산회원구 팔용로 262, 제3호관 5층, 창업보육센터 (합성동)제3호관 5층, 창업보육센터",보건의료,9,9,100.0,
213,경상남도,창원시,창원대학교 창업보육센터,대학,1999-02-27,메카트로닉스관련 제조업,51140경상남도 창원시 의창구 창원대학로 2082호관 324호,특화BI ,18,24,92.4,70점 이상
214,경상남도,창원시,창원문성대학교 창업지원단 창업보육센터,대학,1999-08-05,기계(장비) 제조 및 IT(소프트웨어 개발),51410경상남도 창원시 의창구 충혼로 91벤처창업관 1층 창업보육센터,특화BI ,27,31,85.3,70점 이상
215,경상남도,진주시,한국국제대학교 창업보육센터,대학,1998-06-22,기능성 식품 개발,52833경상남도 진주시 문산읍 동부로 965동부로 965,특화BI ,11,11,63.6,70점 이상
216,경상남도,창원시,한국전기연구원 기술창업센터,연구소,1999-02-27,전기전자 정보통신,"51542경상남도 창원시 성산구 전기의길 10, 창업보육센터 (성주동)창업보육센터",특화BI ,16,19,88.0,70점 이상
217,전라남도,광양시,광양보건대학교창업보육센터,대학,2000-04-27,"환경, 화학, 금속, 디자인,IT","57764전라남도 광양시 광양읍 대학로 85, 광양보건대학교 등용관 창업보육센터광양보건대학교 등용관 창업보육센터",특화BI ,12,15,81.3,70점 미만
218,전라남도,장성군,나노융합의료부품소재창업보육센터,연구소,2009-06-29,"나노바이오초임계추출, 의료기기, 화장품","57248전라남도 장성군 남면 나노산단로 123, 나노바이오연구센터나노바이오연구센터",농공상융합기업,14,21,69.9,70점 이상
219,전라남도,나주시,동신대학교 창업보육센터,대학,1999-02-27,"에너지, 바이오, 서비스","58245전라남도 나주시 동신대길 34-15, 산학협력관 211호창업보육센터 (대호동)산학협력관 211호창업보육센터",특화BI ,16,19,82.3,70점 이상
220,전라남도,무안군,목포대학교 창업보육센터,대학,1999-02-27,"식품가공, 기계장비 제조업",58554전라남도 무안군 청계면 영산로 1666목포대학교 창업보육센터 102호,특화BI ,13,18,89.8,70점 이상
221,전라남도,목포시,목포수산식품지원센터 창업보육센터,정부·지자체,2018-05-28,수산 가공식품,58621전라남도 목포시 고하대로719번길 52(연산동)생산동 2층 생산경영관리실,특화BI ,9,13,77.9,
222,전라남도,목포시,목포해양대학교 창업보육센터,대학,2002-03-20,해양기자재 제조업,58628전라남도 목포시 해양대학로 91목포해양대학교 창업보육센터,특화BI ,13,15,83.8,70점 미만
223,전라남도,곡성군,바이오융합 창업보육센터(친환경),연구소,2011-05-23,"곤충, 미생물, 농생명 관련 분야",57509전라남도 곡성군 입면 입면로 437바이오융합 창업보육센터,바이오,13,20,76.9,70점 이상
224,전라남도,순천시,순천대창업보육센터,대학,1998-06-22,"시스템,소재","57922전라남도 순천시 중앙로 255, 순천대학교 국제문화컨벤션관 310호 창업보육센터순천대학교 창업보육센터",특화BI ,12,14,85.5,70점 이상
225,전라남도,여수시,전남대학교 여수창업보육센터,대학,2005-12-08,바이오 환경 산업,59626전라남도 여수시 대학로 50(둔덕동) 산학연구관 514호,특화BI ,14,17,100.0,70점 이상
226,전라남도,담양군,전남도립대학교 창업보육센터,대학,2014-04-22,ICT융합 녹색산업,57337전라남도 담양군 담양읍 죽녹원로 152전남도립대학교 창업보육센터,특화BI ,9,16,52.9,70점 미만
227,전라남도,강진군,전남환경산업진흥원창업보육센터,정부·지자체,2014-04-22,"환경산업(신재생,수질,대기,폐기물 등)",59205전라남도 강진군 성전면 강진산단로1길 1전라남도환경산업진흥원,특화BI ,8,15,53.3,70점 미만
228,전라남도,장흥군,천연소재실용화 창업보육센터(천연자원),연구소,2012-04-30,"천연자원을 활용한 건강식품, 의약품 및 기타 가공산업분야",59315전라남도 장흥군 장흥읍 산단1로 50천연자원연구원 창업보육센터,바이오,22,37,87.9,70점 이상
229,전라남도,나주시,한국전력 창업보육센터,공공기관·협단체,2021-07-06,에너지신산업(기존 전력분야 포함),58324전라남도 나주시 그린로 370 (빛가람동)2층 (빛가람동),특화BI ,13,15,95.0,70점 미만
230,광주광역시,북구,광주과학기술원 기술사업화센터,대학,2000-04-27,"AI, 드론, 4차산업, 에너지",61005광주광역시 북구 첨단과기로 123  (오룡동)첨단과기로 123(오룡동) 광주과학기술원 기업지원센터,녹색성장,60,77,86.9,70점 미만
231,광주광역시,남구,광주대학교창업보육센터,대학,1999-08-05,"소방공사,탈취기,대기환경정보표시장치,컴팩트인풋디바이스,통합유지보수솔루션,소프트웨어개발,공기청정기등",61743광주광역시 남구 효덕로 277(진월동),특화BI ,12,17,94.1,70점 이상
232,광주광역시,광산구,광주드림파크 (포스트BI),공공기관·협단체,1996-12-29,기계전기전자,62215광주광역시 광산구 하남산단천변좌로 19(오선동),특화BI ,16,23,82.6,70점 이상
233,광주광역시,광산구,남부대학교 창업보육센터,대학,2009-06-29,부품소재,62271광주광역시 광산구 남부대길 38남부대 창업보육센터,특화BI ,33,41,85.6,70점 이상
234,광주광역시,북구,동강대학교창업보육센터,대학,1999-08-05,"광산업,  IT산업, 녹색산업","61200광주광역시 북구 동문대로 50, 동강대학교 산학협력관 (두암동)동강대학교 산학협력관",IT,26,30,100.0,70점 이상
235,광주광역시,남구,송원대학교창업보육센터,대학,2001-03-12,"기계자동차, 에너지, 전기전자",61756광주광역시 남구 송암로 73청솔관 2층,특화BI ,19,19,100.0,
236,광주광역시,북구,전남대학교 창업보육센터,대학,1999-02-27,바이오환경 신소재개발 IT분야,61186광주 북구  용봉로 77지앤알허브 420호,바이오,56,58,94.8,70점 이상
237,광주광역시,동구,조선대학교창업보육센터,대학,1998-06-22,"바이오, 광산업, 첨단부품 소재, 전자부품",61452광주광역시 동구 필문대로 309(서석동),바이오,61,87,83.5,70점 이상
238,광주광역시,광산구,호남대창업보육센터,대학,1999-02-27,"AI산업, 미래자동차, 에너지신산업","62399광주광역시 광산구 호남대길 47, 호남대학교 창업보육센터(현명관 5호관 3층) 5313호 행정지원실 (서봉동)호남대학교 창업보육센터(현명관 5호관 3층) 5313호 행정지원실",특화BI ,15,20,96.5,70점 이상
239,전라북도,군산시,군산대학교 창업보육센터,대학,2000-04-27,"제조업, IT, 해양",54150전라북도 군산시 대학로 558(미룡동),특화BI ,13,15,100.0,70점 미만
240,전라북도,전주시,바이오플렉스(Bio Plex) 창업보육센터,정부·지자체,2013-11-20,"바이오, 식품",54810전라북도 전주시 덕진구 원장동길 111-18(장동)452-69,바이오,14,19,88.2,70점 이상
241,전라북도,전주시,에코인쇄전자창업보육센터,연구소,2010-04-02,"유연인쇄전자. 디스플레이, 반도체, 자동차 전장, 신재쟁, IoT",54853전라북도 전주시 덕진구 반룡로 111(팔복동2가) 한국전자기술연구원 에코인쇄전자창업보육센터,녹색성장,13,26,100.0,70점 미만
242,전라북도,익산시,에코파이버 창업보육센터,연구소,2013-04-01,"섬유, 패션, 융복합소재","54588전라북도 익산시 서동로 594, 에코융합섬유연구원 에코파이버 창업보육센터 (석암동) (석암동)에코융합섬유연구원 에코파이버 창업보육센터 (석암동)",특화BI ,10,10,100.0,70점 이상
243,전라북도,완주군,우석대학교 창업보육센터,대학,1999-08-05,"소프트웨어개발,디자인",55338전라북도 완주군 삼례읍 삼례로 443우석대학교 본관 7층 716호 창업보육센터,특화BI ,22,30,68.3,70점 이상
244,전라북도,익산시,원광대학교 IT·BT창업보육센터,대학,2000-04-27,Information Technology Biotech Technology,54538전라북도 익산시 익산대로 460 원광대학교창업보육센터,IT,43,75,65.6,70점 미만
245,전라북도,익산시,익산창업보육센터,민간기관,2017-12-22,"홀로그램, 에너지, IT",54630전라북도 익산시 동서로 370(영등동)익산종합비즈니스센터 6층,바이오,10,12,100.0,70점 이상
